dth_canc_0_74_yrs_2010_14_asr_100000, dth_lung_canc_0_74_yrs_2010_14_sdr, dth_obs_pulm_dise_0_74_yrs_2010_14_asr_100000, dth_circ_sys_dise_0_74_yrs_2010_14_asr_100000, dth_colortl_canc_0_74_yrs_2010_14_asr_100000, dth_cereb_dise_0_74_yrs_2010_14_num, dth_lung_canc_0_74_yrs_2010_14_asr_100000, dth_canc_0_74_yrs_2010_14_sdr, dth_brst_canc_f_0_74_yrs_2010_14_asr_100000, lga_name, dth_obs_pulm_dise_0_74_yrs_2010_14_num, dth_resp_sys_dise_0_74_yrs_2010_14_num, dth_obs_pulm_dise_0_74_yrs_2010_14_sdr, dth_brst_canc_f_0_74_yrs_2010_14_sdr, dth_cereb_dise_0_74_yrs_2010_14_sdr, dth_isch_hrt_dise_0_74_yrs_2010_14_asr_100000, dth_circ_sys_dise_0_74_yrs_2010_14_sdr, dth_colortl_canc_0_74_yrs_2010_14_num, dth_isch_hrt_dise_0_74_yrs_2010_14_sdr, dth_isch_hrt_dise_0_74_yrs_2010_14_num, dth_resp_sys_dise_0_74_yrs_2010_14_sdr, dth_brst_canc_f_0_74_yrs_2010_14_num, lga_code, dth_colortl_canc_0_74_yrs_2010_14_sdr, dth_resp_sys_dise_0_74_yrs_2010_14_asr_100000, dth_canc_0_74_yrs_2010_14_num, dth_cereb_dise_0_74_yrs_2010_14_asr_100000, dth_lung_canc_0_74_yrs_2010_14_num, dth_circ_sys_dise_0_74_yrs_2010_14_num
97.2,100,6.9,41.5,9.6,5,21.1,97,null,"Alpine (S)",6,12,81,null,73,25.5,91,8,106,21,96,null,"20110",107,14.2,78,6.1,18,33
106.6,116,12.5,68.6,13.2,11,24.4,106,22.6,"Ararat (RC)",9,13,147,138,190,33.4,150,9,139,23,126,7,"20260",147,18.7,74,15.8,17,47
109.2,98,12.0,42.5,12.6,45,20.6,108,14.5,"Ballarat (C)",56,86,142,89,118,19.3,93,58,80,89,125,34,"20570",141,18.4,502,9.8,95,195
87.0,64,5.0,35.2,9.2,51,13.4,86,17.7,"Banyule (C)",31,59,60,108,101,16.6,77,56,69,101,65,55,"20660",103,9.7,529,8.4,82,214
100.8,94,8.9,44.4,7.7,12,19.7,100,17.8,"Bass Coast (S)",20,25,105,109,69,25.2,97,16,105,52,78,17,"20740",86,11.6,208,5.8,42,91
88.8,105,10.1,34.1,5.2,16,22.2,88,19.2,"Baw Baw (S)",26,33,120,118,77,16.2,75,13,67,40,89,23,"20830",59,13.1,219,6.4,56,84
75.6,61,4.9,25.2,7.1,29,12.7,75,13.0,"Bayside (C)",25,36,58,79,69,11.4,55,36,47,58,48,34,"20910",79,7.1,383,5.7,65,127
132.8,160,6.6,53.7,9.2,10,33.7,132,16.9,"Benalla (RC)",6,8,78,104,138,26.6,118,8,110,23,61,7,"21010",103,9.1,115,11.5,30,46
73.8,57,2.9,20.9,6.3,39,11.9,73,14.1,"Boroondara (C)",22,38,34,86,61,11.3,46,49,47,87,34,57,"21110",71,5.0,570,5.1,92,161
93.1,91,5.5,47.3,10.2,86,19.2,93,12.6,"Brimbank (C)",46,91,65,77,123,21.6,104,87,90,183,74,54,"21180",114,10.9,791,10.2,162,401
139.9,170,null,61.6,null,null,35.7,139,null,"Buloke (S)",null,5,null,null,null,26.9,135,null,112,11,80,null,"21270",null,11.8,57,null,15,25
109.4,103,9.6,58.0,6.9,21,21.7,109,22.9,"Campaspe (S)",22,39,114,140,115,31.0,127,15,129,67,119,23,"21370",77,17.5,235,9.6,48,124
101.5,96,7.0,36.8,7.0,21,20.1,101,21.4,"Cardinia (S)",22,48,82,131,77,19.2,81,23,80,63,101,36,"21450",78,14.9,332,6.4,65,121
91.6,94,7.0,46.0,10.6,99,19.8,91,16.4,"Casey (C)",65,126,83,100,120,21.3,101,106,88,213,89,86,"21610",119,13.1,914,10.0,192,461
143.7,200,13.0,70.7,13.3,10,42.1,143,24.4,"Central Goldfields (S)",13,18,154,149,131,42.7,155,12,177,38,128,10,"21670",148,18.8,129,10.9,39,63
110.7,113,9.7,62.5,9.2,13,23.8,110,17.8,"Colac-Otway (S)",12,19,114,109,131,26.0,137,11,108,31,106,10,"21750",103,15.7,132,10.9,29,74
102.2,69,5.1,55.5,6.4,8,14.6,102,29.7,"Corangamite (S)",5,14,60,182,100,33.0,122,6,137,31,99,13,"21830",72,14.6,96,8.3,14,52
99.1,90,7.1,50.5,8.3,47,19.0,98,16.5,"Darebin (C)",42,74,84,101,93,28.2,111,49,117,167,84,50,"21890",92,12.4,584,7.8,110,303
117.7,126,9.0,50.1,12.1,26,26.4,117,18.2,"East Gippsland (S)",30,41,106,111,101,25.6,110,37,106,78,87,25,"22110",135,12.8,359,8.4,84,152
103.2,101,12.7,48.7,12.2,45,21.2,103,18.7,"Frankston (C)",78,108,151,114,88,26.6,107,75,111,164,119,59,"22170",136,17.6,635,7.3,130,300
108.6,118,10.4,41.5,8.6,8,24.8,108,null,"Gannawarra (S)",8,11,123,null,134,20.0,91,6,83,14,101,null,"22250",96,14.9,76,11.2,18,29
95.4,69,10.7,53.2,8.8,38,14.5,95,18.9,"Greater Shepparton (C)",32,48,127,115,154,24.4,117,26,101,72,110,27,"22830",98,16.2,283,12.8,43,158
115.9,106,10.6,43.6,14.4,9,22.3,115,15.4,"Hepburn (S)",11,13,125,94,111,24.8,96,14,103,24,88,7,"22910",161,13.0,113,9.2,22,42
127.3,95,null,57.1,22.8,null,19.9,126,null,"Hindmarsh (S)",null,5,null,null,null,31.8,125,8,132,11,90,null,"22980",254,13.3,45,null,7,20
110.7,127,9.7,47.1,11.0,38,26.7,110,17.8,"Hobsons Bay (C)",37,64,115,109,116,25.1,103,43,104,99,112,36,"23110",122,16.5,433,9.6,103,186
106.2,84,6.8,53.6,10.9,15,17.7,106,12.2,"Horsham (RC)",7,15,80,75,177,28.7,118,11,119,29,99,6,"23190",122,14.7,107,14.8,18,54
100.4,105,9.5,49.9,8.5,51,22.0,100,16.5,"Hume (C)",63,124,113,101,89,27.5,109,59,114,190,124,60,"23270",95,18.4,696,7.4,149,347
107.7,84,9.5,36.8,5.3,null,17.8,107,17.9,"Indigo (S)",9,14,112,110,null,18.2,81,5,75,17,102,8,"23350",59,15.0,101,null,17,34
100.3,100,4.9,37.9,10.7,64,21.0,100,21.7,"Kingston (C) (Vic.)",36,69,58,133,105,17.9,83,78,74,131,64,80,"23430",119,9.4,730,8.7,153,277
92.3,92,6.9,37.9,9.3,62,19.4,92,15.3,"Knox (C)",50,91,82,93,102,20.3,83,69,84,150,85,58,"23670",104,12.6,682,8.5,143,279
104.1,114,12.7,66.2,8.5,46,24.1,103,13.2,"Latrobe (C) (Vic.)",49,69,150,81,146,37.0,145,32,153,140,122,24,"23810",94,18.1,395,12.1,92,250
112.5,157,18.0,65.9,13.6,null,33.0,112,null,"Loddon (S)",10,14,213,null,null,34.2,144,7,142,18,179,null,"23940",152,26.4,60,null,18,35
79.9,69,5.6,33.8,8.2,15,14.5,79,13.1,"Macedon Ranges (S)",13,19,66,80,78,16.7,74,19,69,39,56,15,"24130",91,8.3,186,6.5,34,78
71.9,58,1.6,25.9,7.5,38,12.3,71,14.5,"Manningham (C)",12,37,19,89,65,13.1,57,51,54,90,35,49,"24210",83,5.2,493,5.4,86,178
58.0,61,9.0,49.3,null,null,12.7,58,0.0,"Mansfield (S)",5,7,106,0,null,24.4,108,null,101,13,88,0,"24250",null,12.9,30,null,7,25
98.8,96,10.4,58.8,9.9,23,20.1,98,12.6,"Maribyrnong (C)",25,44,123,77,106,30.6,129,26,127,80,118,17,"24330",111,17.4,257,8.8,50,156
98.7,91,6.5,37.2,10.1,51,19.2,98,19.7,"Maroondah (C)",33,57,77,121,121,15.2,82,51,63,77,76,52,"24410",113,11.3,501,10.1,97,189
67.2,45,6.7,36.7,5.4,17,9.4,67,10.5,"Melbourne (C)",18,26,80,64,71,18.7,80,16,78,54,62,15,"24600",60,9.1,197,5.9,26,109
96.5,101,9.1,49.5,9.3,35,21.3,96,17.0,"Melton (C)",31,63,108,104,112,24.7,109,36,103,96,117,35,"24650",103,17.2,374,9.3,79,193
115.2,122,13.0,56.1,7.3,22,25.7,114,19.7,"Mildura (RC)",35,47,154,121,100,29.7,123,19,123,78,120,25,"24780",81,17.7,302,8.3,68,147
111.5,93,6.9,47.7,8.6,14,19.6,111,12.3,"Mitchell (S)",11,21,82,75,104,22.0,105,14,91,36,89,10,"24850",95,13.1,184,8.7,32,78
111.8,109,12.6,48.7,8.5,16,23.0,111,12.4,"Moira (S)",24,41,149,76,107,27.1,107,15,113,48,150,10,"24900",95,22.2,198,8.9,42,86
74.9,68,3.0,26.8,6.0,44,14.2,74,13.3,"Monash (C)",28,78,36,81,59,12.6,59,53,52,111,58,58,"24970",67,8.6,657,4.9,126,237
88.4,69,6.4,39.3,8.5,35,14.5,88,12.3,"Moonee Valley (C)",34,64,76,75,79,21.4,86,45,89,113,82,33,"25060",95,12.0,465,6.6,76,208
109.8,107,9.1,46.5,9.7,13,22.5,109,9.8,"Moorabool (S)",13,23,108,60,107,23.1,102,14,96,34,108,7,"25150",108,15.9,161,8.9,33,68
100.9,97,5.9,46.5,11.5,50,20.5,100,18.2,"Moreland (C)",35,71,70,111,98,25.4,102,70,105,153,78,56,"25250",129,11.5,606,8.1,121,285
97.9,83,6.3,35.6,8.1,50,17.5,97,20.4,"Mornington Peninsula (S)",63,111,75,125,64,18.6,78,75,77,172,78,92,"25340",90,11.5,906,5.3,167,329
106.1,69,6.7,53.0,16.4,6,14.4,105,null,"Glenelg (S)",8,17,79,null,62,32.7,116,19,136,38,98,null,"22410",183,14.5,123,5.2,17,61
107.3,104,9.8,34.8,12.5,7,22.0,107,23.9,"Golden Plains (S)",9,16,116,146,90,15.6,76,12,65,15,118,11,"22490",140,17.3,103,7.5,21,33
105.2,107,9.3,49.8,11.0,53,22.5,104,16.9,"Greater Bendigo (C)",49,85,110,104,123,26.5,109,57,110,137,110,43,"22620",123,16.3,545,10.2,118,257
98.1,110,7.7,55.1,7.3,75,23.1,97,11.7,"Greater Dandenong (C)",50,108,91,72,139,26.2,121,47,109,169,112,37,"22670",81,16.6,633,11.6,149,356
109.7,101,9.7,45.5,11.8,94,21.2,109,19.4,"Greater Geelong (C)",111,185,115,119,101,25.0,100,131,104,278,111,107,"22750",132,16.4,1220,8.4,238,505
102.0,116,7.9,41.7,11.5,8,24.5,101,8.6,"Mount Alexander (S)",10,18,94,53,79,29.0,91,14,120,35,99,5,"25430",128,14.6,122,6.5,30,49
101.6,60,6.8,41.8,5.9,null,12.7,101,14.8,"Moyne (S)",6,14,81,91,null,24.0,92,5,100,21,109,6,"25490",66,16.1,91,null,12,37
103.0,94,10.9,58.5,10.2,11,19.9,102,15.2,"Murrindindi (S)",10,10,128,93,151,28.4,128,9,118,25,76,6,"25620",114,11.2,91,12.5,18,51
76.5,63,3.2,24.8,6.1,7,13.2,76,17.2,"Nillumbik (S)",9,19,38,105,29,14.1,54,18,58,42,46,27,"25710",68,6.8,228,2.4,39,73
128.8,111,16.5,57.7,13.3,10,23.3,128,28.7,"Northern Grampians (S)",13,18,195,176,160,22.6,127,10,94,17,160,10,"25810",148,23.5,97,13.3,18,43
90.1,95,7.4,41.5,7.6,17,20.0,89,14.6,"Port Phillip (C)",27,39,88,89,53,23.1,91,30,96,90,70,29,"25900",85,10.3,350,4.4,75,163
132.7,139,null,31.1,null,null,29.4,132,null,"Pyrenees (S)",null,7,null,null,null,19.2,68,null,80,9,88,null,"25990",null,13.0,65,null,15,15
90.7,null,0.0,39.7,null,0,null,90,null,"Queenscliffe (B)",0,null,0,null,0,27.3,87,null,113,7,null,null,"26080",null,null,22,0.0,null,10
85.7,87,6.5,37.5,7.5,16,18.3,85,15.9,"South Gippsland (S)",12,20,77,97,109,20.1,82,13,83,35,76,13,"26170",83,11.2,149,9.1,33,65
99.8,83,10.1,48.6,11.6,7,17.5,99,19.8,"Southern Grampians (S)",10,15,119,121,88,23.2,107,11,96,22,105,9,"26260",129,15.5,94,7.3,17,46
81.5,47,3.8,27.1,9.6,30,9.9,81,17.3,"Stonnington (C)",17,31,44,106,80,12.8,59,43,53,57,46,39,"26350",107,6.8,364,6.6,44,122
94.5,79,3.5,34.7,7.0,39,16.7,94,21.1,"Glen Eira (C)",20,47,41,129,80,17.8,76,41,74,105,55,65,"22310",78,8.1,556,6.6,97,205
123.4,123,15.6,57.2,7.1,8,25.9,123,16.0,"Strathbogie (S)",12,15,184,98,134,32.6,125,5,135,23,138,5,"26430",79,20.4,87,11.2,19,40
76.0,64,null,32.1,7.8,null,13.4,76,13.2,"Surf Coast (S)",null,5,null,81,null,18.4,70,11,76,26,25,9,"26490",87,3.6,108,null,19,45
112.0,143,11.0,57.1,6.7,11,30.0,111,null,"Swan Hill (RC)",12,21,131,null,125,32.3,125,7,134,34,133,null,"26610",74,19.6,118,10.4,32,60
96.2,117,12.0,35.8,null,null,24.5,96,null,"Towong (S)",5,9,142,null,null,22.7,78,null,94,9,151,null,"26670",null,22.3,38,null,10,14
109.1,99,14.1,38.7,10.3,10,20.8,108,17.3,"Wangaratta (RC)",23,30,167,106,77,16.0,85,16,67,25,128,13,"26700",115,18.9,170,6.4,33,60
119.0,112,9.8,43.7,9.3,19,23.5,118,12.4,"Warrnambool (C)",16,29,116,76,142,18.0,96,15,75,29,121,10,"26730",104,17.9,189,11.8,38,69
132.5,124,9.0,52.6,10.5,31,26.0,132,20.5,"Wellington (S)",22,38,106,125,157,25.3,115,25,105,60,107,23,"26810",117,15.9,316,13.1,63,124
138.9,177,null,60.3,null,null,37.3,138,null,"West Wimmera (S)",null,5,null,null,null,27.4,132,null,114,8,120,null,"26890",null,17.7,39,null,11,17
87.4,63,3.2,31.2,11.9,52,13.4,87,18.1,"Whitehorse (C)",25,56,38,111,80,13.5,68,90,56,103,49,71,"26980",133,7.2,662,6.7,102,238
99.2,90,6.4,42.7,12.3,53,18.9,99,16.0,"Whittlesea (C)",42,77,75,98,94,23.3,94,84,97,159,77,56,"27070",137,11.4,677,7.8,127,293
114.5,138,11.5,52.3,10.1,14,29.1,114,26.0,"Wodonga (C)",18,25,136,159,106,31.5,115,16,131,50,107,21,"27170",112,15.8,182,8.8,46,83
96.2,105,8.1,41.5,9.0,46,22.2,96,12.6,"Wyndham (C)",41,74,96,77,100,19.7,91,51,82,111,93,38,"27260",101,13.7,543,8.3,119,237
96.2,112,6.7,39.8,10.9,26,23.7,96,16.7,"Yarra (C)",19,35,79,102,105,19.2,87,32,80,57,83,26,"27350",121,12.3,284,8.7,67,119
88.8,73,9.1,38.7,7.6,63,15.3,88,16.1,"Yarra Ranges (S)",66,101,108,99,104,17.8,85,56,74,132,95,60,"27450",85,14.0,656,8.7,113,284
114.5,129,null,58.4,null,5,27.1,114,null,"Yarriambiack (S)",null,10,null,null,127,40.8,128,null,169,19,140,null,"27630",null,20.7,53,10.6,13,27
92.3,null,0.0,null,0.0,0,null,92,0.0,"Unincorporated Vic",0,null,0,0,0,null,null,0,null,null,null,0,"29399",0,null,5,0.0,null,null
